11.854 8.860 A 
10.045 35.820 C 
7.192 29.690 B 
10.425 46.850 C 
11.715 51.660 B 
9.462 42.210 C 
10.290 30.340 C 
9.729 33.300 C 
10.795 68.760 B 
10.098 41.280 C 
10.821 39.370 C 
10.505 41.010 C 
11.081 66.900 B 
10.446 54.200 B 
7.163 54.540 A 
13.156 66.160 A 
9.938 37.680 C 
13.828 50.890 A 
12.310 74.890 A 
11.949 21.080 B 
8.770 47.510 B 
11.738 40.870 B 
12.415 18.230 A 
12.496 38.210 B 
11.770 16.830 B 
11.562 33.570 B 
9.334 48.410 C 
11.125 45.900 B 
7.762 2.870 A 
13.416 -3.650 A 
11.084 12.480 B 
8.629 48.720 B 
12.469 45.740 B 
7.365 41.460 B 
12.209 59.440 B 
10.806 32.420 C 
9.229 48.600 C 
6.610 78.700 A 
13.398 -1.630 A 
8.085 23.670 B 
11.731 0.180 A 
12.641 40.360 B 
8.357 41.280 B 
10.663 35.630 C 
14.116 63.030 A 
6.134 28.860 A 
14.903 24.750 A 
10.835 41.940 C 
9.927 36.710 C 
10.214 45.870 C 
5.572 76.400 A 
7.748 55.240 B 
11.628 18.100 B 
5.183 13.130 A 
9.305 37.380 C 
11.002 74.020 A 
7.109 2.640 A 
12.035 39.450 B 
10.761 28.080 B 
10.933 46.380 C 
9.055 36.980 C 
8.835 -2.490 A 
11.159 34.760 B 
9.119 34.350 C 
10.003 0.410 A 
9.567 42.680 C 
10.164 37.440 C 
6.223 0.350 A 
11.586 19.100 B 
6.585 76.510 A 
9.524 32.810 C 
6.019 -1.640 A 
10.298 36.450 C 
11.395 16.680 B 
5.887 -6.440 A 
8.058 81.960 A 
9.365 33.300 C 
8.646 27.030 B 
10.799 32.840 C 
7.487 30.480 B 
8.282 38.680 B 
12.207 43.220 B 
10.437 37.890 C 
9.702 60.790 B 
10.776 32.250 C 
10.838 83.930 A 
9.425 46.650 C 
10.969 41.230 C 
13.588 37.100 A 
10.389 13.010 B 
9.882 44.020 C 
8.094 36.760 B 
9.261 36.400 C 
9.358 52.350 B 
9.799 30.430 C 
9.040 36.170 C 
7.112 20.630 A 
9.962 16.540 B 
14.229 63.490 A 
5.589 -9.510 A 
11.397 29.060 B 
7.355 50.220 B 
9.060 33.270 C 
6.981 55.290 A 
8.298 85.020 A 
9.238 33.010 C 
8.810 71.890 A 
9.789 26.020 B 
10.132 46.540 C 
8.121 27.950 B 
9.421 -6.910 A 
8.435 -8.810 A 
10.419 63.620 B 
7.980 36.450 B 
9.889 5.190 A 
10.532 36.820 C 
12.958 79.920 A 
9.509 48.860 C 
9.966 40.410 C 
9.529 37.500 C 
9.771 43.430 C 
5.469 7.110 A 
9.988 45.710 C 
9.555 35.570 C 
11.396 78.260 A 
12.741 -6.870 A 
11.985 8.880 A 
10.883 15.420 B 
10.672 39.530 C 
13.531 73.130 A 
7.242 21.860 A 
8.406 13.390 A 
6.991 5.870 A 
7.243 43.480 B 
11.553 42.030 B 
13.936 72.320 A 
9.762 27.580 B 
9.255 11.100 B 
12.279 -9.840 A 
10.259 15.640 B 
11.322 31.200 B 
7.418 53.360 B 
10.730 63.910 B 
9.098 34.480 C 
9.598 31.480 C 
10.512 49.680 C 
10.297 43.820 C 
10.856 -7.140 A 
10.953 42.200 C 
9.426 -8.700 A 
10.765 40.040 C 
11.513 57.270 B 
5.530 67.860 A 
7.559 13.630 A 
13.976 11.140 A 
9.329 26.490 B 
11.431 89.510 A 
7.970 65.770 A 
10.657 39.570 C 
10.187 10.460 B 
8.873 75.470 A 
9.529 49.240 C 
13.581 -8.520 A 
7.823 72.390 A 
9.282 45.400 C 
8.900 19.760 B 
6.875 3.030 A 
8.491 17.620 B 
11.207 25.380 B 
7.258 22.200 A 
11.086 60.250 B 
10.565 37.620 C 
10.319 39.250 C 
13.524 84.860 A 
11.113 32.010 B 
7.852 49.270 B 
9.631 30.610 C 
7.787 85.470 A 
8.014 38.760 B 
9.097 20.020 B 
10.824 34.580 C 
7.987 49.500 B 
14.094 44.580 A 
9.570 -6.450 A 
